QID,Presentation,Diversity,Questions,Metaphor,Topic,Vehicle,Comprehensive,Similarity,Creative,Funniness,TopicAWD,VehicleAWD,w2v200_dim200_snd3000_topic,w2v200_dim200_snd3000_vehicle
21,TV,3.9135725597906688,TV21,デモは雪崩だ,デモ,雪崩,5.1,3.13,4.64,3.85,2.02,1.92,0.3459278896252314,0.4231375000576178
21,S,3.715540022049655,S21,デモは雪崩だ,デモ,雪崩,5.1,3.13,4.64,3.85,2.02,1.92,0.3459278896252314,0.4231375000576178
22,TV,4.231605126722911,TV22,疑惑は腫瘍だ,疑惑,腫瘍,5.3,3.32,4.75,4.7,2.46,1.84,0.3772738619248072,0.5941557275255521
22,S,4.460327504278365,S22,疑惑は腫瘍だ,疑惑,腫瘍,5.3,3.32,4.75,4.7,2.46,1.84,0.3772738619248072,0.5941557275255521
23,TV,4.083950391383627,TV23,教育は階段だ,教育,階段,6.79,4.83,4.77,4.9,2.3,1.43,0.4273783225119114,0.4230330713888009
23,S,4.020044643290161,S23,教育は階段だ,教育,階段,6.79,4.83,4.77,4.9,2.3,1.43,0.4273783225119114,0.4230330713888009
24,TV,4.009013637018944,TV24,微風は吐息だ,微風,吐息,6.33,4.78,4.45,4.51,2.38,2.19,0.3860716187457244,0.4805037177006404
24,S,3.5056901760103605,S24,微風は吐息だ,微風,吐息,6.33,4.78,4.45,4.51,2.38,2.19,0.3860716187457244,0.4805037177006404
25,TV,2.987163937947951,TV25,山は王様だ,山,王様,5.41,3.47,4.56,4.02,2.24,2.22,0.49254865738749504,0.4941485835214456
25,S,2.83060198236606,S25,山は王様だ,山,王様,5.41,3.47,4.56,4.02,2.24,2.22,0.49254865738749504,0.4941485835214456
26,TV,4.245803905034978,TV26,仕事は牢獄だ,仕事,牢獄,5.4,3.6,4.52,3.79,2.26,2.03,0.35123958125710486,0.4119333860178789
26,S,3.825217933331224,S26,仕事は牢獄だ,仕事,牢獄,5.4,3.6,4.52,3.79,2.26,2.03,0.35123958125710486,0.4119333860178789
27,TV,3.878356203043404,TV27,愛は季節だ,愛,季節,6.78,4.6,4.98,5.18,2.73,2.19,0.433070083796978,0.3726496080160141
27,S,3.4492260530885948,S27,愛は季節だ,愛,季節,6.78,4.6,4.98,5.18,2.73,2.19,0.433070083796978,0.3726496080160141
28,TV,3.9356610924641577,TV28,利息は年貢だ,利息,年貢,5.16,4.88,3.95,3.61,2.06,2.11,0.49515732388695083,0.4700552429457506
28,S,3.611762461722505,S28,利息は年貢だ,利息,年貢,5.16,4.88,3.95,3.61,2.06,2.11,0.49515732388695083,0.4700552429457506
29,TV,3.820259016025551,TV29,椿はひとだまだ,椿,ひとだま,3.32,2.1,4.94,3.69,0.0,0.0,0.0,0.0
29,S,3.368096247339768,S29,椿はひとだまだ,椿,ひとだま,3.32,2.1,4.94,3.69,0.0,0.0,0.0,0.0
30,TV,3.6290575384583046,TV30,審判は天秤だ,審判,天秤,5.84,5.5,4.08,3.8,1.89,1.93,0.3769246115386486,0.3778042429387569
30,S,3.563070546910168,S30,審判は天秤だ,審判,天秤,5.84,5.5,4.08,3.8,1.89,1.93,0.3769246115386486,0.3778042429387569
31,TV,3.277118338692556,TV31,雑巾は亀だ,雑巾,亀,1.98,1.58,4.89,3.79,1.98,1.69,0.5094551286697387,0.5384323853154978
31,S,3.955310652591746,S31,雑巾は亀だ,雑巾,亀,1.98,1.58,4.89,3.79,1.98,1.69,0.5094551286697387,0.5384323853154978
32,TV,3.678782135154181,TV32,不安は濃霧だ,不安,濃霧,7.17,6.07,4.84,5.41,2.59,1.9,0.36634401937325795,0.4303546593586604
32,S,3.2818177192111038,S32,不安は濃霧だ,不安,濃霧,7.17,6.07,4.84,5.41,2.59,1.9,0.36634401937325795,0.4303546593586604
33,TV,4.258662956320356,TV33,理論は建物だ,理論,建物,4.44,2.83,4.88,3.9,2.31,1.86,0.504201981951793,0.45576706766088804
33,S,4.110419672631688,S33,理論は建物だ,理論,建物,4.44,2.83,4.88,3.9,2.31,1.86,0.504201981951793,0.45576706766088804
34,TV,3.123812002996172,TV34,希望は灯火だ,希望,灯火,6.49,6.13,4.34,5.05,2.4,1.79,0.3052820041278998,0.4057548147936662
34,S,2.732600101362458,S34,希望は灯火だ,希望,灯火,6.49,6.13,4.34,5.05,2.4,1.79,0.3052820041278998,0.4057548147936662
35,TV,3.76902734562514,TV35,運命は通り魔だ,運命,通り魔,5.27,3.35,5.44,5.25,2.7,2.12,0.3861716412504514,0.4116668065090974
35,S,3.750090047514481,S35,運命は通り魔だ,運命,通り魔,5.27,3.35,5.44,5.25,2.7,2.12,0.3861716412504514,0.4116668065090974
36,TV,2.6835143078602224,TV36,沈黙は海底だ,沈黙,海底,6.98,4.87,4.56,5.3,2.36,1.73,0.31812229789296786,0.45116920029123625
36,S,2.458026423312275,S36,沈黙は海底だ,沈黙,海底,6.98,4.87,4.56,5.3,2.36,1.73,0.31812229789296786,0.45116920029123625
37,TV,4.068811137932629,TV37,霧はベールだ,霧,ベール,6.14,4.98,4.2,4.57,1.82,2.14,0.4087008252441883,0.5060525662899017
37,S,3.5971786506112866,S37,霧はベールだ,霧,ベール,6.14,4.98,4.2,4.57,1.82,2.14,0.4087008252441883,0.5060525662899017
38,TV,3.0576604067563333,TV38,激怒は噴火だ,激怒,噴火,8.0,7.23,4.02,4.69,2.11,1.77,0.4261757812400659,0.41234011309345564
38,S,3.6811599168535087,S38,激怒は噴火だ,激怒,噴火,8.0,7.23,4.02,4.69,2.11,1.77,0.4261757812400659,0.41234011309345564
39,TV,4.001901362962365,TV39,眼は湖だ,眼,湖,3.86,2.27,4.88,3.95,2.06,1.76,0.40569758919874827,0.4826971435546875
39,S,3.7534731393165863,S39,眼は湖だ,眼,湖,3.86,2.27,4.88,3.95,2.06,1.76,0.40569758919874827,0.4826971435546875
40,TV,3.349599173352495,TV40,唇は蛭だ,唇,蛭,3.29,2.33,4.52,3.38,1.83,2.07,0.4929275682071845,0.5442803812424342
40,S,4.067072890392953,S40,唇は蛭だ,唇,蛭,3.29,2.33,4.52,3.38,1.83,2.07,0.4929275682071845,0.5442803812424342
41,TV,3.498902242861733,TV41,笑顔は花だ,笑顔,花,8.02,6.52,3.91,5.16,2.18,1.64,0.44280215674638745,0.4559011512001355
41,S,3.372858540720605,S41,笑顔は花だ,笑顔,花,8.02,6.52,3.91,5.16,2.18,1.64,0.44280215674638745,0.4559011512001355
42,TV,3.2004074907267963,TV42,心臓は時計だ,心臓,時計,7.43,5.35,4.22,4.5,1.45,1.38,0.4387870043118795,0.35699938344955445
42,S,3.111712600370882,S42,心臓は時計だ,心臓,時計,7.43,5.35,4.22,4.5,1.45,1.38,0.4387870043118795,0.35699938344955445
43,TV,3.3076773352681736,TV43,麦畑は海だ,麦畑,海,5.57,3.83,4.44,4.28,2.05,1.63,0.43942855996886887,0.4388008135755857
43,S,2.9679172096340136,S43,麦畑は海だ,麦畑,海,5.57,3.83,4.44,4.28,2.05,1.63,0.43942855996886887,0.4388008135755857
44,TV,3.526718145541242,TV44,香水は花束だ,香水,花束,5.37,4.45,4.56,4.39,1.33,1.61,0.5335715768933296,0.3946292207837105
44,S,3.737281764212858,S44,香水は花束だ,香水,花束,5.37,4.45,4.56,4.39,1.33,1.61,0.5335715768933296,0.3946292207837105
45,TV,4.039202859202012,TV45,礼儀は檻だ,礼儀,檻,3.98,2.67,4.52,4.1,2.34,1.83,0.39506141673525175,0.4304320695499579
45,S,3.788550543233017,S45,礼儀は檻だ,礼儀,檻,3.98,2.67,4.52,4.1,2.34,1.83,0.39506141673525175,0.4304320695499579
